GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,TARIFA,CONEXIONES_AGUA,CONEXIONES_ALCANTARILLADO,ANIO,MES,FECHA_CORTE
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CHACLACAYO,150107,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,EL AGUSTINO,150111,SOCIAL,88,54,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,EL AGUSTINO,150111,DOMESTICO,27044,25682,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,EL AGUSTINO,150111,COMERCIAL,589,478,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,EL AGUSTINO,150111,INDUSTRIAL,57,51,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,EL AGUSTINO,150111,ESTATAL,1,1,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LA MOLINA,150114,SOCIAL,33,18,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LA MOLINA,150114,DOMESTICO,29058,26620,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LA MOLINA,150114,COMERCIAL,1270,880,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LA MOLINA,150114,INDUSTRIAL,118,116,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LA MOLINA,150114,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LURIGANCHO,150118,SOCIAL,41,10,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LURIGANCHO,150118,DOMESTICO,30368,29700,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LURIGANCHO,150118,COMERCIAL,510,479,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LURIGANCHO,150118,INDUSTRIAL,70,76,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LURIGANCHO,150118,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SAN LUIS,150134,SOCIAL,5,2,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SAN LUIS,150134,DOMESTICO,7028,6460,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SAN LUIS,150134,COMERCIAL,1092,841,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SAN LUIS,150134,INDUSTRIAL,199,184,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SAN LUIS,150134,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CIENEGUILLA,150109,SOCIAL,22,12,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CIENEGUILLA,150109,DOMESTICO,3597,3504,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CIENEGUILLA,150109,COMERCIAL,107,95,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CIENEGUILLA,150109,INDUSTRIAL,9,8,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,CIENEGUILLA,150109,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SANTA ANITA,150137,SOCIAL,36,23,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SANTA ANITA,150137,DOMESTICO,23165,22345,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SANTA ANITA,150137,COMERCIAL,1106,934,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SANTA ANITA,150137,INDUSTRIAL,82,78,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SANTA ANITA,150137,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,HUAROCHIRI,SAN ANTONIO DE HUAROCHIRI,150709,SOCIAL,4,1,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,HUAROCHIRI,SAN ANTONIO DE HUAROCHIRI,150709,DOMESTICO,9139,9084,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,HUAROCHIRI,SAN ANTONIO DE HUAROCHIRI,150709,COMERCIAL,80,80,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,HUAROCHIRI,SAN ANTONIO DE HUAROCHIRI,150709,INDUSTRIAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,HUAROCHIRI,SAN ANTONIO DE HUAROCHIRI,150709,ESTATAL,0,0,2023,202304,20230505
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,SOCIAL,902,169,2023,202304,20230505
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,DOMESTICO,160296,154507,2023,202304,20230505
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,COMERCIAL,6877,5252,2023,202304,20230505
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,INDUSTRIAL,914,822,2023,202304,20230505
